en,vi
It's very big,To quá
It's very big,Rất to
It's very big,Cái này rất lớn
It's very big,Kích thước rất lớn
Just enjoy it,Hãy hưởng thụ đi
Just enjoy it,Tận hưởng nó đi
Just enjoy it,Cứ vui vẻ mà hưởng thụ
Just enjoy it,Hãy thư giãn và tận hưởng
Just stay put,Ở yên đó
Just stay put,Đứng yên ở đó
Just stay put,Không di chuyển nhé
Just stay put,Ở nguyên vị trí
Leave it here,Hãy để nó ở đây
Leave it here,Để nó lại đây
Leave it here,Cứ để nó ở đây
Leave it here,Đặt nó xuống đây
Let him do it,Để anh ấy làm đi
Let him do it,Để nó làm đi
Let him do it,Hãy để cậu ấy làm
Let him do it,Cứ để anh ta tự làm
Let me finish,Để tôi làm xong đã
Let me finish,Để tôi hoàn tất
Let me finish,Để tôi hoàn thành nốt
Let me finish,Để tôi hoàn thành việc này
Let's go home,Chúng ta về nhà thôi
Let's go home,Chúng ta về nhà thôi nào
Let's go home,Về nhà thôi nào
Let's go home,Về nhà thôi
May I ask why?,Tôi có thể hỏi tại sao không
May I ask why?,Tôi có thể biết lý do không
May I ask why?,Tôi có thể hỏi lý do không
May I ask why?,"Tại sao vậy, tôi hỏi được không"
May I go home?,Con về nhà được không
May I go home?,Tôi có thể về nhà không
May I go home?,Tôi được phép về nhà không
May I go home?,Tôi xin phép về nhà nhé
My knee hurts,Tôi đau đầu gối quá
My knee hurts,Đầu gối tôi đau quá
My knee hurts,Tôi bị đau đầu gối
My knee hurts,Đầu gối của tôi đang đau
"Oh, I'm sorry","Ôi, xin lỗi nha"
"Oh, I'm sorry","Ôi, xin lỗi nhé"
"Oh, I'm sorry","Ôi, tôi xin lỗi"
"Oh, I'm sorry","Ôi, xin lỗi"
"Oh, I'm sorry",Xin lỗi nhé
"Oh, I'm sorry",Xin lỗi
She's my type,Cô ấy là mẫu người lý tưởng của tôi
She's my type,Cô ấy đúng kiểu người tôi thích
She's my type,Cô ấy đúng kiểu tôi thích
She's my type,Cô ấy hợp gu của tôi
She's my type,Cô ấy đúng gu của tôi
She's my type,Cô ấy là kiểu người của tôi
She's my type,Cô ấy đúng kiểu của tôi
She's my type,Tôi thích cô ấy
Suit yourself,Bạn cứ tự nhiên làm theo ý mình
Suit yourself,Tùy ý bạn
Suit yourself,Cứ làm điều bạn muốn
Suit yourself,Bạn tự quyết định đi
Suit yourself,Bạn muốn sao thì làm vậy
Sweep my room,Hãy quét dọn phòng tôi
Sweep my room,Quét dọn phòng tôi ngay
Sweep my room,Làm ơn quét phòng của tôi
Sweep my room,Quét dọn phòng của tôi
Sweep my room,Quét phòng tôi
Take me there,Hãy đưa tôi đến chỗ đó
Take me there,Đưa tôi tới đó đi
Take me there,Hãy dẫn tôi tới đó
Take me there,Dẫn tôi tới đó
Take me there,Bạn hãy đưa tôi tới đó
That's a wolf,Đó là một con sói
That's a wolf,Đó là con sói
That's a wolf,Kia là con sói
That's a wolf,"Nhìn kìa, con sói đấy"
That's a wolf,Đó chính là một con sói
They all left,Tất cả bọn họ đã đi rồi
They all left,Họ đều đã rời khỏi
They all left,Mọi người đều đã rời đi
They all left,Tất cả đều đã đi rồi
They're drunk,Họ say rượu rồi
They're drunk,Họ đã say xỉn
They're drunk,Họ đã uống say
They're drunk,Họ đang trong cơn say
They're stuck,Họ bị mắc kẹt rồi
They're stuck,Họ đang gặp phải rắc rối
They're stuck,Họ không thể thoát ra
They're stuck,Họ đang ở trong tình thế khó khăn
This is a pun,Đây là một trò chơi chữ
This is a pun,Cái này là một câu đùa chữ
This is a pun,Đây là một kiểu chơi chữ
This is a pun,Đó là một câu nói chơi chữ
Time is money,Thời gian là tiền bạc
Time is money,Thời gian là tài sản
Time is money,Thời gian là của cải
Time is money,Thời gian quý như vàng
Tom bought it,Tom đã mua nó rồi
Tom bought it,Tom vừa mua thứ đó
Tom bought it,Tom đã sắm cái đó
Tom bought it,Tom mua món đó rồi
Tom is vulgar,Tom là người thô tục
Tom is vulgar,Tom có tính cách thô lỗ
Tom is vulgar,Tom rất thô thiển
Tom is vulgar,Tom cư xử rất thô lỗ
Tom was happy,Tom đã rất vui
Tom was happy,Tom cảm thấy hạnh phúc
Tom was happy,Tom đã vui vẻ
Tom was happy,Tom trông rất vui vẻ
Tom won again,Tom lại thắng nữa rồi
Tom won again,Tom đã chiến thắng một lần nữa
Tom won again,Tom tiếp tục thắng
Tom won again,Tom thắng thêm lần nữa
Try this cake,Thử bánh này xem
Try this cake,Hãy thử món bánh này đi
Try this cake,Bạn nên thử món bánh này
Try this cake,Nếm thử chiếc bánh này xem sao
We need tools,Chúng tôi cần dụng cụ
We need tools,Chúng tôi cần thiết bị
We need tools,Chúng tôi cần có công cụ
We need tools,Cần thêm dụng cụ để làm việc
We want a car,Chúng tôi muốn một chiếc ô tô
We want a car,Chúng tôi cần một cái xe hơi
We want a car,Chúng tôi cần một chiếc xe
We want a car,Chúng tôi đang muốn mua một xe ô tô
We'll hide it,Chúng tôi sẽ cất giấu nó
We'll hide it,Chúng tôi sẽ giấu kỹ
We'll hide it,Chúng tôi sẽ giữ kín chuyện này
We'll hide it,Chúng tôi sẽ che đậy nó
We're enemies,Chúng ta là kẻ thù của nhau
We're enemies,Chúng ta hiện giờ là kẻ thù
We're enemies,Chúng ta đang ở hai bên đối lập
We're enemies,Chúng ta là đối thủ của nhau
We're too old,Chúng tôi quá già rồi
We're too old,Chúng ta giờ đã già quá rồi
We're too old,Chúng tôi đã trở nên già cỗi
We're too old,Chúng ta đã lớn tuổi rồi
Where are you?,Bạn đang ở đâu vậy
Where are you?,Bạn hiện ở đâu
Where are you?,Bạn đang ở đâu
Where are you?,Bạn ở đâu rồi
Who says that?,Ai nói điều đó vậy
Who says that?,Ai vừa nói thế
Who says that?,Ai dám nói vậy
Who says that?,Ai đã bảo vậy
You can do it,Bạn có thể làm được điều đó
You can do it,Bạn chắc chắn làm được
You can do it,Bạn làm được mà
You can do it,Bạn có khả năng làm điều đó
You know this,Bạn biết chuyện này mà
You know this,Bạn đã biết điều này
You know this,Bạn hiểu điều này đúng không
You know this,Bạn biết rõ chuyện này mà
You look pale,Bạn trông có vẻ nhợt nhạt
You look pale,Bạn có vẻ xanh xao
You look pale,Bạn trông hơi tái
You look pale,Bạn có vẻ mệt mỏi
You may enter,Bạn có thể vào đi
You may enter,Mời bạn vào
You may enter,Bạn có thể vào
You may enter,Bạn được phép vào
"After you, Tom",Mời Tom đi trước
"After you, Tom","Tom, bạn đi trước đi"
"After you, Tom","Tom, mời cậu đi trước"
"After you, Tom","Tom, đi trước đi"
Are you hungry?,Bạn có đói không
Are you hungry?,Bạn có đói bụng không
Are you hungry?,Bạn có cảm thấy đói không
Are you hungry?,Bạn có muốn ăn gì không
Did Tom object?,Tom có phản đối không
Did Tom object?,Tom có ý kiến phản đối không
Did Tom object?,Tom có nêu ý kiến gì không
Did Tom object?,Tom có phản kháng không
Do as you like,Bạn thích làm gì thì làm
Do as you like,Thích làm gì thì làm
Do as you like,Bạn muốn làm gì thì làm
Do as you like,Cứ làm theo ý bạn
Do you miss me?,Bạn có nhớ tôi không
Do you miss me?,Bạn nhớ tôi không
Do you miss me?,Em có nhớ anh không
Do you miss me?,Anh có nhớ em không
Don't sweat it,Đừng lo lắng quá
Don't sweat it,Đừng bận tâm quá
Don't sweat it,Đừng lo lắng chuyện đó
Don't sweat it,Đừng bận tâm chuyện này
Don't tell him,Đừng nói với anh ấy
Don't tell him,Đừng bảo anh ấy biết
Don't tell him,Đừng có nói với hắn
Don't tell him,Đừng cho anh ta biết
Even Tom cried,Ngay cả Tom cũng khóc
Even Tom cried,Cả Tom cũng rơi nước mắt
Even Tom cried,Tom cũng không cầm được nước mắt
Even Tom cried,Cả Tom cũng bật khóc
French is hard,Tiếng Pháp khó quá
French is hard,Tiếng Pháp thật khó
French is hard,Tiếng Pháp khó
French is hard,Tiếng Pháp không dễ học
French is hard,Tiếng Pháp khó học
French is hard,Tiếng Pháp là một ngôn ngữ khó
Go take a walk,Hãy đi dạo một chút đi
Go take a walk,Đi dạo một chút đi
Go take a walk,Đi bộ một vòng đi
Go take a walk,Bạn hãy đi dạo một tí đi
He lives alone,Anh ấy sống một mình
He lives alone,Anh ấy sống đơn độc
He lives alone,Anh ấy sống lẻ loi
He lives alone,Anh ấy sống một cách cô đơn
Here is my key,Đây là chìa khóa của tôi
Here is my key,Chìa khóa của tôi đây
Here is my key,Đây là cái chìa khóa của tôi
Here is my key,Đây là khóa của tôi
I am a shy boy,Tôi là một cậu bé nhút nhát
I am a shy boy,Tôi là một đứa trẻ hay mắc cỡ
I am a shy boy,Tôi là một thằng nhóc nhút nhát
I am a shy boy,Tôi là một cậu bé hay ngại ngùng
I bike to work,Tôi đi làm bằng xe đạp
I bike to work,Tôi đi xe đạp đến chỗ làm
I bike to work,Tôi đi xe đạp đến công ty
I bike to work,Tôi đi xe đạp mỗi khi đi làm
I didn't drive,Tôi đã không lái xe
I didn't drive,Tôi không lái xe
I didn't drive,Tôi đã không tự lái
I didn't drive,Tôi không phải người lái xe
I don't get it,Tôi không hiểu
I don't get it,Tôi không thấy được ý nghĩa
I don't get it,Tôi không hiểu rõ
I don't get it,Tôi không nắm bắt được
I got divorced,Tôi đã ly hôn
I got divorced,Tôi đã chia tay
I got divorced,Tôi đã ly dị
I got divorced,Tôi đã ly thân
I had to agree,Tôi đã phải đồng ý
I had to agree,Tôi buộc phải đồng ý
I had to agree,Tôi không còn cách nào khác ngoài đồng ý
I had to agree,Tôi đã đồng ý thôi
I hate lawyers,Tôi ghét luật sư
I hate lawyers,Tôi không ưa luật sư
I hate lawyers,Tôi không thích luật sư
I hate lawyers,Tôi có ác cảm với luật sư
I hate my life,Tôi ghét cuộc đời mình
I hate my life,Tôi ghét đời mình
I hate my life,Tôi ghét cuộc sống của mình
I hate my life,Tôi rất ghét cuộc đời này
I hate my life,Tôi không thích cuộc đời của mình
I have a dream,Tôi có ước mơ
I have a dream,Tôi có một giấc mơ
I have a dream,Tôi có những ước mơ
I have a dream,Tôi có một ước mơ lớn
I have to hide,Tôi phải trốn
I have to hide,Tôi cần phải trốn
I have to hide,Tôi cần phải ẩn náu
I have to hide,Tôi phải tìm chỗ ẩn náu
I kept running,Tôi đã tiếp tục chạy
I kept running,Tôi tiếp tục chạy
I kept running,Tôi không ngừng chạy
I kept running,Tôi vẫn tiếp tục chạy
I like history,Tôi thích lịch sử
I like history,Tôi rất thích lịch sử
I like history,Tôi thích môn lịch sử
I like history,Tôi đam mê lịch sử
I need to rest,Tôi cần phải nghỉ ngơi
I need to rest,Tôi cần nghỉ một chút
I need to rest,Tôi cần được nghỉ ngơi
I need to rest,Tôi cần một chút thời gian để nghỉ ngơi
I want a knife,Tôi muốn một con dao
I want a knife,Tôi cần một con dao
I want a knife,Tôi muốn có một con dao
I want a knife,Tôi đang cần một con dao
I want to stay,Tôi muốn ở lại
I want to stay,Tôi muốn ở lại đây
I want to stay,Tôi muốn tiếp tục ở đây
I want to stay,Tớ muốn ở lại đây
I wear a watch,Tôi đeo đồng hồ
I wear a watch,Tôi đang đeo đồng hồ
I wear a watch,Tôi có một chiếc đồng hồ
I wear a watch,Tôi thường đeo đồng hồ
I'd rather not,Tôi thà không
I'd rather not,Tôi không thích như vậy
I'd rather not,Tôi không muốn làm điều đó
I'd rather not,Tôi không muốn tham gia
I'll stay here,Tôi sẽ ở lại đây
I'll stay here,Tôi sẽ ở lại chỗ này
I'll stay here,Tôi quyết định ở lại đây
I'll stay here,Tôi sẽ không đi đâu cả
I'll wait here,Tôi sẽ đợi ở đây
I'll wait here,Tôi sẽ chờ ở đây
I'll wait here,Tôi đợi ở đây
I'll wait here,Tôi sẽ ở đây chờ
I'm a free man,Tôi là người đàn ông tự do
I'm a free man,Tôi là một người tự do
I'm a free man,Tôi là một người tự do về mặt pháp lý
I'm a free man,Tôi là tự do
I'm an atheist,Tôi là một người vô thần
I'm an atheist,Tôi không tin vào thần
I'm an atheist,Tôi không có đức tin vào tôn giáo nào
I'm an atheist,Tôi không tin vào tôn giáo
I'm free today,Hôm nay tôi không có việc gì
I'm free today,Hôm nay tôi có thời gian rảnh
I'm free today,Hôm nay tôi có thể làm gì cũng được
I'm free today,Hôm nay tôi rảnh
I'm free today,Tôi rảnh hôm nay
I'm quite well,Tôi cảm thấy khá tốt
I'm quite well,Tôi thấy mình ổn
I'm quite well,Tôi đang cảm thấy khỏe
It'll be tough,Nó sẽ rất khó khăn
It'll be tough,Điều này sẽ không dễ dàng
It'll be tough,Điều này sẽ thử thách chúng ta
It's up to you,Quyết định là ở bạn
It's up to you,Tùy thuộc vào bạn thôi
It's up to you,Bạn sẽ quyết định điều này
Let Tom in now,Hãy để Tom vào ngay bây giờ
Let Tom in now,Bây giờ cho Tom vào đi
Let Tom in now,Hãy cho Tom vào trong lúc này
Let me come in,Hãy cho tôi vào với
Let me come in,"Cho tôi vào, được không"
Let me come in,Hãy cho phép tôi vào
Let us go home,Chúng ta nên về nhà thôi
Let us go home,Hãy để chúng ta về nhà
Let us go home,Chúng ta hãy quay về nhà nào
May I kiss you?,Tôi có thể hôn bạn không
May I kiss you?,Tôi có thể hôn bạn được chứ
May I kiss you?,Liệu tôi có thể hôn bạn không
May I sit here?,Tôi có thể ngồi ở đây không
May I sit here?,Liệu tôi có thể ngồi đây không
May I sit here?,Cho tôi ngồi ở đây có được không
Men are idiots,Đàn ông thường không thông minh
Men are idiots,Đàn ông thì ngốc nghếch
Men are idiots,Đàn ông ngốc nghếch
Men are idiots,Đàn ông không suy nghĩ kỹ lưỡng
My name is Tom,Tên của tôi là Tom
My name is Tom,Tôi tên là Tom
My name is Tom,Họ tên của tôi là Tom
Never mind Tom,Đừng bận tâm đến Tom
Never mind Tom,Đừng lo lắng về Tom
Never mind Tom,Đừng để ý đến Tom
Once is enough,Một lần là đủ rồi
Once is enough,Chỉ cần một lần thôi là đủ
Once is enough,Một lần là đã đủ
Pack your bags,Thu xếp hành lý của bạn đi
Pack your bags,Hãy chuẩn bị hành lý của bạn
Pack your bags,Hãy dọn đồ đạc đi nhé
Play us a tune,Chơi cho chúng tôi một bản nhạc đi
Play us a tune,Hãy đánh cho chúng tôi một bài nhạc
Play us a tune,Chơi một giai điệu cho chúng tôi nghe nhé
She liked that,Cô ấy thích điều đó
She liked that,Cô ấy rất thích nó
She liked that,Cô ấy thấy điều đó thú vị
She plays Bach,Cô ấy chơi nhạc của Bach
She plays Bach,Cô ấy biểu diễn nhạc của Bach
She plays Bach,Cô ấy chơi những tác phẩm của Bach
Should I reply?,Tôi có nên phản hồi không
Should I reply?,Tôi có nên trả lời lại không
Should I reply?,Liệu tôi có nên phản hồi không
Tell the truth,Nói thật đi
Tell the truth,Hãy nói thật đi
Tell the truth,Hãy nói sự thật đi
Their eyes met,Ánh mắt họ chạm nhau
Their eyes met,Đôi mắt của họ gặp nhau
Their eyes met,Họ đã nhìn nhau
They can leave,Họ có thể rời đi
They can leave,Họ có thể đi bây giờ
They can leave,Họ có thể ra về
They have come,Họ đã đến
They have come,Họ đã tới nơi
They have come,Họ đã đến nơi rồi
This is on you,Cái này tùy vào bạn
This is on you,Việc này thuộc về bạn
This is on you,Điều này do bạn quyết định
Tom can't stay,Tom không thể ở lại
Tom can't stay,Tom không ở lại được
Tom can't stay,Tom không thể ở đây lâu
Tom isn't ugly,Tom không xấu xí
Tom isn't ugly,Tom không xấu
Tom isn't ugly,Tom không phải là người xấu
We thanked Tom,Chúng tôi đã cám ơn Tom
We thanked Tom,Chúng tôi đã cảm ơn Tom
We thanked Tom,Chúng tôi đã gửi lời cảm ơn đến Tom
